[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 29.21
Rm = 12.4829059
Bf(kN/mm) = 1.4605
Fb = 0.03
Rb = 0.01282051
Fy = /
Ry = 
E(GPa) = -0.1112673
Slope = -2.603656
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
4.900	1.93	-0.3670	-0.3700
4.920	1.95	-0.3690	-0.3700
4.940	1.95	-0.3700	-0.3700
4.960	1.96	-0.3720	-0.3700
4.980	1.97	-0.3750	-0.3800
5.000	1.98	-0.3770	-0.3800
5.020	1.99	-0.3780	-0.3800
5.040	2.00	-0.3800	-0.3800
5.060	2.01	-0.3810	-0.3800
5.080	2.02	-0.3830	-0.3800
5.100	2.03	-0.3840	-0.3800
5.120	2.04	-0.3860	-0.3900
5.140	2.05	-0.3870	-0.3900
5.160	2.06	-0.3900	-0.3900
5.180	2.07	-0.3920	-0.3900
5.200	2.08	-0.3930	-0.3900
5.220	2.09	-0.3950	-0.3900
5.240	2.09	-0.3960	-0.4000
5.260	2.10	-0.3980	-0.4000
5.280	2.12	-0.3990	-0.4000
5.300	2.12	-0.4010	-0.4000
5.320	2.13	-0.4020	-0.4000
5.340	2.14	-0.4040	-0.4000
5.360	2.15	-0.4050	-0.4100
5.380	2.15	-0.4070	-0.4100
5.400	2.16	-0.4090	-0.4100
5.420	2.17	-0.4120	-0.4100
5.440	2.18	-0.4130	-0.4100
5.460	2.19	-0.4150	-0.4100
5.480	2.20	-0.4160	-0.4200
5.500	2.21	-0.4180	-0.4200
5.520	2.22	-0.4190	-0.4200
5.540	2.23	-0.4210	-0.4200
5.560	2.24	-0.4220	-0.4200
5.580	2.25	-0.4250	-0.4300
5.600	2.25	-0.4270	-0.4300
5.620	2.26	-0.4280	-0.4300
5.640	2.27	-0.4300	-0.4300
5.660	2.28	-0.4310	-0.4300
5.680	2.29	-0.4330	-0.4300
5.700	2.30	-0.4340	-0.4300
5.720	2.31	-0.4360	-0.4400
5.740	2.32	-0.4380	-0.4400
5.760	2.32	-0.4390	-0.4400
5.780	2.33	-0.4410	-0.4400
5.800	2.34	-0.4420	-0.4400
5.820	2.35	-0.4440	-0.4400
5.840	2.36	-0.4470	-0.4500
5.860	2.37	-0.4480	-0.4500
5.880	2.38	-0.4500	-0.4500
5.900	2.39	-0.4510	-0.4500
5.920	2.39	-0.4530	-0.4500
5.940	2.40	-0.4540	-0.4500
5.960	2.41	-0.4560	-0.4600
5.980	2.42	-0.4570	-0.4600
6.000	2.43	-0.4590	-0.4600
6.020	2.44	-0.4620	-0.4600
6.040	2.45	-0.4630	-0.4600
6.060	2.46	-0.4650	-0.4600
6.080	2.47	-0.4660	-0.4700
6.100	2.48	-0.4680	-0.4700
6.120	2.49	-0.4700	-0.4700
6.140	2.49	-0.4710	-0.4700
6.160	2.50	-0.4730	-0.4700
6.180	2.51	-0.4740	-0.4700
6.200	2.52	-0.4760	-0.4800
6.220	2.53	-0.4770	-0.4800
6.240	2.54	-0.4790	-0.4800
6.260	2.54	-0.4820	-0.4800
6.280	2.55	-0.4830	-0.4800
6.300	2.56	-0.4850	-0.4800
6.320	2.57	-0.4860	-0.4900
6.340	2.58	-0.4880	-0.4900
6.360	2.59	-0.4890	-0.4900
6.380	2.59	-0.4910	-0.4900
6.400	2.60	-0.4920	-0.4900
6.420	2.61	-0.4940	-0.4900
6.440	2.62	-0.4970	-0.5000
6.460	2.63	-0.4980	-0.5000
6.480	2.64	-0.5000	-0.5000
6.500	2.65	-0.5020	-0.5000
6.520	2.66	-0.5030	-0.5000
6.540	2.67	-0.5050	-0.5000
6.560	2.67	-0.5060	-0.5100
6.580	2.68	-0.5080	-0.5100
6.600	2.69	-0.5090	-0.5100
6.620	2.70	-0.5110	-0.5100
6.640	2.70	-0.5120	-0.5100
6.660	2.71	-0.5140	-0.5100
6.680	2.72	-0.5170	-0.5200
6.700	2.73	-0.5180	-0.5200
6.720	2.73	-0.5200	-0.5200
6.740	2.75	-0.5210	-0.5200
6.760	2.75	-0.5230	-0.5200
6.780	2.76	-0.5240	-0.5200
6.800	2.77	-0.5260	-0.5300
6.820	2.78	-0.5270	-0.5300
6.840	2.79	-0.5290	-0.5300
6.860	2.80	-0.5300	-0.5300
6.880	2.80	-0.5340	-0.5300
6.900	2.81	-0.5350	-0.5400
6.920	2.82	-0.5370	-0.5400
6.940	2.83	-0.5380	-0.5400
6.960	2.84	-0.5400	-0.5400
6.980	2.85	-0.5410	-0.5400
7.000	2.86	-0.5430	-0.5400
7.020	2.87	-0.5440	-0.5400
7.040	2.87	-0.5460	-0.5500
7.060	2.88	-0.5470	-0.5500
7.080	2.89	-0.5490	-0.5500
7.100	2.90	-0.5520	-0.5500
7.120	2.90	-0.5530	-0.5500
7.140	2.91	-0.5550	-0.5500
7.160	2.92	-0.5560	-0.5600
7.180	2.93	-0.5580	-0.5600
7.200	2.94	-0.5590	-0.5600
7.220	2.94	-0.5610	-0.5600
7.240	2.95	-0.5630	-0.5600
7.260	2.96	-0.5640	-0.5600
7.280	2.97	-0.5660	-0.5700
7.300	2.98	-0.5670	-0.5700
7.320	2.98	-0.5700	-0.5700
7.340	2.99	-0.5720	-0.5700
7.360	3.00	-0.5730	-0.5700
7.380	3.01	-0.5750	-0.5700
7.400	3.02	-0.5760	-0.5800
7.420	3.03	-0.5780	-0.5800
7.440	3.04	-0.5790	-0.5800
7.460	3.04	-0.5810	-0.5800
7.480	3.05	-0.5820	-0.5800
7.500	3.06	-0.5840	-0.5800
7.520	3.07	-0.5870	-0.5900
7.540	3.07	-0.5880	-0.5900
7.560	3.08	-0.5900	-0.5900
7.580	3.09	-0.5910	-0.5900
7.600	3.10	-0.5930	-0.5900
7.620	3.10	-0.5950	-0.5900
7.640	3.11	-0.5960	-0.6000
7.660	3.12	-0.5980	-0.6000
7.680	3.13	-0.5990	-0.6000
7.700	3.14	-0.6010	-0.6000
7.720	3.14	-0.6020	-0.6000
7.740	3.15	-0.6040	-0.6000
7.760	3.16	-0.6070	-0.6100
7.780	3.17	-0.6080	-0.6100
7.800	3.18	-0.6100	-0.6100
7.820	3.19	-0.6110	-0.6100
7.840	3.20	-0.6130	-0.6100
7.860	3.20	-0.6140	-0.6100
7.880	3.21	-0.6160	-0.6200
7.900	3.22	-0.6170	-0.6200
7.920	3.22	-0.6190	-0.6200
7.940	3.23	-0.6220	-0.6200
7.960	3.24	-0.6230	-0.6200
7.980	3.25	-0.6250	-0.6300
8.000	3.25	-0.6270	-0.6300
8.020	3.26	-0.6280	-0.6300
8.040	3.27	-0.6300	-0.6300
8.060	3.28	-0.6310	-0.6300
8.080	3.29	-0.6330	-0.6300
8.100	3.29	-0.6340	-0.6300
8.120	3.30	-0.6360	-0.6400
8.140	3.31	-0.6370	-0.6400
8.160	3.32	-0.6390	-0.6400
8.180	3.32	-0.6420	-0.6400
8.200	3.33	-0.6430	-0.6400
8.220	3.34	-0.6450	-0.6400
8.240	3.35	-0.6460	-0.6500
8.260	3.36	-0.6480	-0.6500
8.280	3.36	-0.6490	-0.6500
8.300	3.37	-0.6510	-0.6500
8.320	3.38	-0.6520	-0.6500
8.340	3.39	-0.6540	-0.6500
8.360	3.40	-0.6550	-0.6600
8.380	3.40	-0.6590	-0.6600
8.400	3.41	-0.6600	-0.6600
8.420	3.42	-0.6620	-0.6600
8.440	3.43	-0.6630	-0.6600
8.460	3.43	-0.6650	-0.6600
8.480	3.44	-0.6660	-0.6700
8.500	3.44	-0.6680	-0.6700
8.520	3.45	-0.6690	-0.6700
8.540	3.46	-0.6710	-0.6700
8.560	3.47	-0.6720	-0.6700
8.580	3.48	-0.6740	-0.6700
8.600	3.48	-0.6750	-0.6800
8.620	3.49	-0.6770	-0.6800
8.640	3.50	-0.6800	-0.6800
8.660	3.50	-0.6810	-0.6800
8.680	3.51	-0.6830	-0.6800
8.700	3.52	-0.6840	-0.6800
8.720	3.53	-0.6860	-0.6900
8.740	3.53	-0.6880	-0.6900
8.760	3.54	-0.6890	-0.6900
8.780	3.55	-0.6910	-0.6900
8.800	3.56	-0.6940	-0.6900
8.820	3.57	-0.6950	-0.7000
8.840	3.57	-0.6970	-0.7000
8.860	3.58	-0.6980	-0.7000
8.880	3.59	-0.7000	-0.7000
8.900	3.60	-0.7010	-0.7000
8.920	3.60	-0.7030	-0.7000
8.940	3.61	-0.7040	-0.7000
8.960	3.62	-0.7060	-0.7100
8.980	3.62	-0.7070	-0.7100
9.000	3.63	-0.7090	-0.7100
9.020	3.64	-0.7100	-0.7100
9.040	3.65	-0.7130	-0.7100
9.060	3.65	-0.7150	-0.7100
9.080	3.66	-0.7160	-0.7200
9.100	3.67	-0.7180	-0.7200
9.120	3.67	-0.7200	-0.7200
9.140	3.68	-0.7210	-0.7200
9.160	3.69	-0.7230	-0.7200
9.180	3.70	-0.7240	-0.7200
9.200	3.71	-0.7260	-0.7300
9.220	3.71	-0.7270	-0.7300
9.240	3.72	-0.7300	-0.7300
9.260	3.73	-0.7320	-0.7300
9.280	3.74	-0.7330	-0.7300
9.300	3.74	-0.7350	-0.7300
9.320	3.75	-0.7360	-0.7400
9.340	3.76	-0.7380	-0.7400
9.360	3.76	-0.7390	-0.7400
9.380	3.76	-0.7410	-0.7400
9.400	3.78	-0.7420	-0.7400
9.420	3.79	-0.7440	-0.7400
9.440	3.79	-0.7450	-0.7500
9.460	3.80	-0.7480	-0.7500
9.480	3.81	-0.7500	-0.7500
9.500	3.81	-0.7520	-0.7500
9.520	3.81	-0.7530	-0.7500
9.540	3.83	-0.7550	-0.7500
9.560	3.83	-0.7560	-0.7600
9.580	3.84	-0.7580	-0.7600
9.600	3.85	-0.7590	-0.7600
9.620	3.86	-0.7610	-0.7600
9.640	3.86	-0.7620	-0.7600
9.660	3.87	-0.7640	-0.7600
9.680	3.88	-0.7670	-0.7700
9.700	3.88	-0.7680	-0.7700
9.720	3.89	-0.7700	-0.7700
9.740	3.90	-0.7710	-0.7700
9.760	3.91	-0.7730	-0.7700
9.780	3.91	-0.7740	-0.7700
9.800	3.92	-0.7760	-0.7800
9.820	3.93	-0.7770	-0.7800
9.840	3.94	-0.7790	-0.7800
9.860	3.94	-0.7800	-0.7800
9.880	3.95	-0.7840	-0.7800
9.900	3.95	-0.7850	-0.7900
9.920	3.96	-0.7870	-0.7900
9.940	3.97	-0.7880	-0.7900
9.960	3.97	-0.7900	-0.7900
9.980	3.98	-0.7910	-0.7900
10.000	3.99	-0.7930	-0.7900
10.020	3.99	-0.7940	-0.7900
10.040	4.00	-0.7960	-0.8000
10.060	4.01	-0.7970	-0.8000
10.080	4.02	-0.7990	-0.8000
10.100	4.02	-0.8020	-0.8000
10.120	4.03	-0.8030	-0.8000
10.140	4.04	-0.8050	-0.8000
